medianame	source_url	domain	country	bias	factual
The Beltway Report	https://www.thebeltwayreport.com/	www.thebeltwayreport.com	USA	extremeright	mixed
The Budapest Beacon	https://budapestbeacon.com/	budapestbeacon.com	None	leftcenter	high
Center for Public Integrity	https://www.publicintegrity.org/	www.publicintegrity.org	USA	leftcenter	high
United Press International (UPI)	https://www.upi.com	www.upi.com	USA	center	high
The Last Refuge (Conservative Treehouse)	https://theconservativetreehouse.com/	theconservativetreehouse.com	Unknown	right	mixed
Cowger Nation	http://cowgernation.com/	cowgernation.com	None	right	mixed
Molon Labe Media	http://www.molonlabemedia.com/	www.molonlabemedia.com	None	extremeright	questionable source
New Boston Post	http://newbostonpost.com	newbostonpost.com	None	right	mixed
If You Only News	http://www.ifyouonlynews.com/	www.ifyouonlynews.com	None	extremeleft	questionable source
News Punch	https://newspunch.com	newspunch.com	USA	extremeright	very low
Financial Times	https://www.ft.com/	www.ft.com	United Kingdom	center	high
The Hill Talk	http://thehilltalk.com	thehilltalk.com	USA	leftcenter	high
Boy Genius Report (BGR)	https://bgr.com/		None	leftcenter	high
Mercatus Center	https://www.mercatus.org	www.mercatus.org	USA	rightcenter	high
YellowHammer News	http://yellowhammernews.com/	yellowhammernews.com	None	right	high
openDemocracy	https://www.opendemocracy.net/	www.opendemocracy.net	United Kingdom	leftcenter	high
Central News Agency (CNA) / Focus Taiwan	http://focustaiwan.tw/	focustaiwan.tw	Taiwan	leftcenter	high
Citizens United	http://citizensunited.org/index.aspx	citizensunited.org	USA	right	mixed
LGBTQ Nation	https://www.lgbtqnation.com/	www.lgbtqnation.com	USA	left	mostly factual
FStv (freespeech.org)	https://www.freespeech.org/	www.freespeech.org	USA	left	mixed
RenewedRight.com	https://renewedright.com	renewedright.com	None	right	mixed
The Daily Northwestern	https://dailynorthwestern.com	dailynorthwestern.com	USA	center	high
Congressional Budget Office (CBO)	https://www.cbo.gov/	www.cbo.gov	None	center	very high
Seventeen	None	None	USA	left	high
USA Newsflash	http://usanewsflash.com/	usanewsflash.com	None	extremeright	questionable source
The Post-Journal (Jamestown, New York)	https://www.post-journal.com	www.post-journal.com	USA	rightcenter	high
Concerned Women for America	https://concernedwomen.org/blog/	concernedwomen.org	USA	extremeright	low
Milwaukee Journal-Sentinel	http://www.jsonline.com/	www.jsonline.com	None	leftcenter	high
Tasnim News Agency	https://www.tasnimnews.com/en	www.tasnimnews.com	Iran	right	mixed
Smirking Chimp	http://www.smirkingchimp.com/	www.smirkingchimp.com	None	left	high
Liberty Brief	http://libertybrief.com/		None	extremeright	questionable source
TheJournal.ie	http://www.thejournal.ie/	www.thejournal.ie	None	center	high
Breaking Defense	http://breakingdefense.com/	breakingdefense.com	None	rightcenter	high
The Sentinel (Pennsylvania)	http://cumberlink.com	cumberlink.com	USA	center	high
Citizen Truth	https://citizentruth.org	citizentruth.org	USA	leftcenter	high
The News Guru	https://mynewsguru.com	mynewsguru.com	None	extremeright	questionable source
The Irish Times	http://www.irishtimes.com/	www.irishtimes.com	Ireland	leftcenter	high
Huffington Post (HuffPost)	https://www.huffpost.com/	www.huffpost.com	USA	left	mostly factual
Popular Resistance	https://popularresistance.org/	popularresistance.org	None	left	mixed
Latest.com	https://latest.com	latest.com	USA	left	mixed
Mainichi Shimbun	https://mainichi.jp	mainichi.jp	Japan	leftcenter	high
News.com.au	https://www.news.com.au/	www.news.com.au	Australia	rightcenter	mostly factual
Battle Creek Enquirer	https://www.battlecreekenquirer.com	www.battlecreekenquirer.com	USA	leftcenter	high
The Australian Financial Review	http://www.afr.com/	www.afr.com	None	center	high
Harvard Gazette	http://news.harvard.edu/gazette/	news.harvard.edu	None	center	high
Latin Times	http://www.latintimes.com/	www.latintimes.com	None	leftcenter	high
The Daily Citizen (Dalton)	http://www.daltondailycitizen.com/	www.daltondailycitizen.com	None	rightcenter	high
The Tyee	https://thetyee.ca/	thetyee.ca	Canada	leftcenter	high
Rewire.news	https://rewire.news/	rewire.news	USA	left	high
Americans United for Separation of Church and State	https://www.au.org/	www.au.org	None	left	high
USA in Front	http://usainfront.com	usainfront.com	None	extremeright	questionable source
Middle East Forum	https://www.meforum.org	www.meforum.org	USA	extremeright	questionable source
Right Web	http://rightweb.irc-online.org	rightweb.irc-online.org	None	leftcenter	high
Foundation for Economic Education	https://fee.org/	fee.org	USA	rightcenter	mixed
DC Dirty Laundry	https://dcdirtylaundry.com	dcdirtylaundry.com	USA	extremeright	very low
ABC12 News (WJRT)	https://www.abc12.com/	www.abc12.com	USA	center	high
Hastings Tribune	http://www.hastingstribune.com	www.hastingstribune.com	USA	center	high
Saskatoon StarPhoenix	https://thestarphoenix.com	thestarphoenix.com	Canada	rightcenter	high
The Plain Dealer	http://www.cleveland.com/plaindealer/	www.cleveland.com	USA	leftcenter	high
Austin American-Statesman	https://www.statesman.com/	www.statesman.com	USA	leftcenter	high
Fortune Magazine	http://fortune.com/	fortune.com	USA	rightcenter	high
Anthropocene Magazine	https://www.anthropocenemagazine.org/	www.anthropocenemagazine.org	USA	leftcenter	high
Foster's Daily Democrat	https://www.fosters.com/	www.fosters.com	USA	center	high
Daily Mirror	https://www.mirror.co.uk	www.mirror.co.uk	United Kingdom	leftcenter	mixed
The Auburn Citizen	http://auburnpub.com/	auburnpub.com	USA	center	high
Life News	https://www.lifenews.com/	www.lifenews.com	USA	right	mixed
WestMonster	http://www.westmonster.com/	www.westmonster.com	United Kingdom	right	mixed
Times Free Press	https://www.timesfreepress.com	www.timesfreepress.com	USA	center	high
Caldron Pool	https://caldronpool.com/	caldronpool.com	Australia	extremeright	mixed
Tri-City Herald	https://www.tri-cityherald.com/	www.tri-cityherald.com	USA	center	high
Conservative HQ	http://www.conservativehq.com/	www.conservativehq.com	USA	right	mixed
Credo Action	http://credoaction.com/	credoaction.com	None	leftcenter	high
The Press-Enterprise	http://www.pe.com/	www.pe.com	USA	rightcenter	high
Homeland Security News Wire	http://www.homelandsecuritynewswire.com	www.homelandsecuritynewswire.com	USA	center	high
Grain of Truth	http://grainoftruth.ca/	grainoftruth.ca	Canada	extremeright	very low
Adweek	https://www.adweek.com/	www.adweek.com	USA	center	high
The Observer (UK)	https://www.theguardian.com/observer	www.theguardian.com	None	leftcenter	high
Business Insider	http://www.businessinsider.com/	www.businessinsider.com	USA	leftcenter	high
Center for Global Development	https://www.cgdev.org/	www.cgdev.org	USA	leftcenter	high
Akron Beacon Journal	https://www.beaconjournal.com/	www.beaconjournal.com	None	leftcenter	high
Information Liberation	http://www.informationliberation.com/	www.informationliberation.com	USA	extremeright	questionable source
Sojourners (Soho)	https://sojo.net/	sojo.net	None	leftcenter	high
Anti-Fascist News	https://antifascistnews.net/	antifascistnews.net	USA	left	mixed
The Times of America	http://www.digifection.com/	www.digifection.com	None	extremeright	questionable source
100 Percent Fed Up	https://100percentfedup.com/	100percentfedup.com	USA	extremeright	low
IRIN News	http://www.irinnews.org/	www.irinnews.org	None	leftcenter	high
The California Republican	http://carepublican.com	carepublican.com	None	right	high
Sure News	http://www.surenews.com/	www.surenews.com	None	extremeright	questionable source
The Forward	https://forward.com/	forward.com	USA	leftcenter	high
Digg	http://digg.com/	digg.com	None	leftcenter	high
Honolulu Civil Beat	https://www.civilbeat.org	www.civilbeat.org	USA	leftcenter	high
National Center for Public Policy Research (NCPPR)	http://www.nationalcenter.org/	www.nationalcenter.org	None	right	mixed
Yahoo News	https://news.yahoo.com/	news.yahoo.com	USA	leftcenter	high
MarketWatch	https://www.marketwatch.com/	www.marketwatch.com	USA	rightcenter	high
Heritage Foundation	https://www.heritage.org	www.heritage.org	USA	right	mixed
Denver Westword	https://www.westword.com/	www.westword.com	USA	leftcenter	high
Open the Government	http://www.openthegovernment.org/	www.openthegovernment.org	None	center	high
DailyO	https://www.dailyo.in	www.dailyo.in	India	rightcenter	mixed
The Ohio Star	http://theohiostar.com/	theohiostar.com	USA	right	mixed
Freedom News Report	https://freedomnewsreport.com	freedomnewsreport.com	USA	right	mixed
Filming Cops	http://filmingcops.com/	filmingcops.com	None	left	high
Steadfast and Loyal	https://steadfastandloyal.com/	steadfastandloyal.com	None	extremeright	questionable source
Geek.com	https://www.geek.com	www.geek.com	USA	center	high
Digital Journal	http://www.digitaljournal.com	www.digitaljournal.com	None	center	high
World Magazine	https://world.wng.org/	world.wng.org	None	right	mixed
NewsWars	https://newswars.com/	newswars.com	USA	extremeright	low
The Olympian	http://www.theolympian.com	www.theolympian.com	USA	leftcenter	high
Republic World	http://www.republicworld.com/	www.republicworld.com	India	rightcenter	mixed
The Truth About Guns	http://www.thetruthaboutguns.com/	www.thetruthaboutguns.com	None	right	high
National Center for Transgender Equality (NCTE)	https://transequality.org	transequality.org	None	leftcenter	high
Burnett County Sentinel	http://www.burnettcountysentinel.com	www.burnettcountysentinel.com	USA	center	mostly factual
India Today	http://indiatoday.intoday.in/	indiatoday.intoday.in	India	center	high
The Council of Canadians	https://canadians.org/	canadians.org	None	leftcenter	high
OneNewsNow	https://onenewsnow.com	onenewsnow.com	USA	right	mixed
London Web News	http://londonwebnews.com/	londonwebnews.com	None	extremeleft	questionable source
Hogg Watch	http://www.hoggwatch.com	www.hoggwatch.com	None	extremeright	low
Media Circus	https://www.mediacircus.com/	www.mediacircus.com	None	right	mixed
Open Doors	https://www.opendoorsusa.org	www.opendoorsusa.org	USA	rightcenter	mixed
Detroit Free Press	https://www.freep.com/	www.freep.com	USA	leftcenter	high
Mic	https://mic.com/	mic.com	None	leftcenter	high
Sioux City Journal	http://siouxcityjournal.com/	siouxcityjournal.com	USA	center	high
Personal Liberty	http://personalliberty.com/	personalliberty.com	None	extremeright	low
Saudi Gazette	https://saudigazette.com.sa/		None	leftcenter	high
Human Progress	http://humanprogress.org/	humanprogress.org	USA	rightcenter	mostly factual
The Daily Centrist	https://thedailycentrist.com	thedailycentrist.com	USA	center	mixed
The Express-Times (Lehigh Valley)	https://www.lehighvalleylive.com	www.lehighvalleylive.com	USA	leftcenter	high
CheckPoint Asia	https://www.checkpointasia.net	www.checkpointasia.net	Unknown	right	low
Jezebel	http://jezebel.com/	jezebel.com	USA	left	high
The Middle East in London	http://www.soas.ac.uk/lmei/meil/	www.soas.ac.uk	None	center	high
Daily Buzz Live	http://dailybuzzlive.com/	dailybuzzlive.com	USA	None	very low
PanAm Post	https://panampost.com/	panampost.com	USA	right	mixed
Open Magazines	http://openmagazines.com/	openmagazines.com	None	extremeright	questionable source
The Straits Times	https://www.straitstimes.com	www.straitstimes.com	Singapore	rightcenter	mostly factual
Bongino.com	https://bongino.com	bongino.com	USA	right	mixed
Viral Patriot	https://theviralpatriot.com/	theviralpatriot.com	None	extremeright	questionable source
Canadian Jewish News (CJN)	https://www.cjnews.com/	www.cjnews.com	None	rightcenter	high
Ad Fontes Media	https://www.adfontesmedia.com/	www.adfontesmedia.com	USA	center	high
Population Research Institute	https://www.pop.org/	www.pop.org	USA	extremeright	low
Tampa Tribune	http://www.tbo.com/	www.tbo.com	None	rightcenter	high
USA is Online	https://usaisonline.com/	usaisonline.com	Unknown	extremeright	very low
CNS News	https://www.cnsnews.com/	www.cnsnews.com	USA	extremeright	low
Lavender Magazine	http://www.lavendermagazine.com/	www.lavendermagazine.com	None	left	high
Guardian Liberty Voice	http://guardianlv.com/	guardianlv.com	None	left	high
Food and Water Watch	https://www.foodandwaterwatch.org	www.foodandwaterwatch.org	USA	left	mixed
The Last Resistance	https://lastresistance.com/	lastresistance.com	None	extremeright	questionable source
WalesOnline	https://www.walesonline.co.uk/	www.walesonline.co.uk	United Kingdom	leftcenter	high
Fort Bend Herald	http://www.fbherald.com/	www.fbherald.com	None	rightcenter	high
Tax Policy Center	http://www.taxpolicycenter.org	www.taxpolicycenter.org	None	leftcenter	high
The Sociable	https://sociable.co/	sociable.co	None	center	high
Downtrend	http://downtrend.com/	downtrend.com	None	extremeright	low
Sick Chirpse	https://www.sickchirpse.com/	www.sickchirpse.com	United Kingdom	None	very low
Stat (News)	https://www.statnews.com/	www.statnews.com	None	center	high
Daily Kos	https://www.dailykos.com/	www.dailykos.com	USA	left	mixed
Independent Journal Review	https://ijr.com/	ijr.com	None	right	high
The Proud Liberal	http://theproudliberal.org/	theproudliberal.org	None	extremeleft	questionable source
Drudge Report	https://www.drudgereport.com	www.drudgereport.com	USA	right	low
Black Genocide	http://www.blackgenocide.org/home.html	www.blackgenocide.org	None	extremeright	low
Pacific Standard Magazine	https://psmag.com/	psmag.com	USA	leftcenter	high
Hot Air	https://hotair.com	hotair.com	USA	right	mostly factual
Korea Herald	http://www.koreaherald.com/	www.koreaherald.com	South Korea	rightcenter	mixed
BNO News	https://bnonews.com/	bnonews.com	None	center	high
Assyrian International News Agency	http://www.aina.org/	www.aina.org	None	right	mixed
Red State Disaster	https://redstatedisaster.com	redstatedisaster.com	None	left	high
Shame Project	http://shameproject.com/	shameproject.com	None	leftcenter	high
Helsinki Times	https://www.helsinkitimes.fi/	www.helsinkitimes.fi	Finland	leftcenter	high
Daily Political Newswire	https://dailypoliticalnewswire.com	dailypoliticalnewswire.com	Unknown	right	mixed
National Newswatch	http://www.nationalnewswatch.com/	www.nationalnewswatch.com	None	leftcenter	high
Daily Headlines	http://dailyheadlines.net/	dailyheadlines.net	Unknown	extremeright	low
Blue Lives Matter	https://defensemaven.io/bluelivesmatter/	defensemaven.io	USA	right	high
Taki's Magazine	http://takimag.com/	takimag.com	None	extremeright	questionable source
Monthly Review	http://monthlyreview.org/	monthlyreview.org	None	leftcenter	high
Barron's	https://www.barrons.com	www.barrons.com	USA	rightcenter	high
The Fiscal Times	http://www.thefiscaltimes.com/	www.thefiscaltimes.com	None	rightcenter	high
Institute for Family Studies	https://ifstudies.org	ifstudies.org	USA	right	mixed
The London Economic	https://www.thelondoneconomic.com	www.thelondoneconomic.com	United Kingdom	left	mostly factual
Our Eye on Islam	http://www.oureyeonislam.com/	www.oureyeonislam.com	None	extremeright	questionable source
Atavist Magazine	https://magazine.atavist.com/	magazine.atavist.com	USA	leftcenter	very high
World Net Daily (WND)	http://www.wnd.com/	www.wnd.com	USA	extremeright	questionable source
The Citizen	https://www.thecitizen.org.au	www.thecitizen.org.au	None	leftcenter	high
Paste Magazine	https://www.pastemagazine.com/	www.pastemagazine.com	None	left	high
Yes, I'm Right	https://yesimright.com/	yesimright.com	USA	extremeright	questionable source
RiverBender.com	https://www.riverbender.com/	www.riverbender.com	None	center	high
Conservative Today	https://conservativetoday.com	conservativetoday.com	None	right	mixed
Right & Free	https://rightandfree.com/	rightandfree.com	USA	right	mixed
Malaysiakini	https://www.malaysiakini.com/	www.malaysiakini.com	Malaysia	leftcenter	mixed
The Frisky	http://www.thefrisky.com/	www.thefrisky.com	None	left	high
International Consortium of Investigative Journalists	https://www.icij.org/	www.icij.org	None	center	very high
Anadolu Agency	https://www.aa.com.tr/en	www.aa.com.tr	None	right	mixed
Roanoke Times	http://www.roanoke.com/	www.roanoke.com	None	leftcenter	high
Truth and Action	http://www.truthandaction.org/	www.truthandaction.org	USA	extremeright	low
Amnesty International	https://www.amnesty.org/en/	www.amnesty.org	United Kingdom	leftcenter	high
Lead Stories	https://leadstories.com/	leadstories.com	USA	center	very high
StopFake	http://www.stopfake.org/	www.stopfake.org	None	leftcenter	high
Pluralist	https://www.pluralist.com	www.pluralist.com	USA	right	mostly factual
Federal Times	http://www.federaltimes.com/	www.federaltimes.com	None	center	high
National Bureau of Economic Research (NBER)	http://www.nber.org/	www.nber.org	None	center	high
Charlotte Observer	https://www.charlotteobserver.com	www.charlotteobserver.com	USA	leftcenter	high
The Herald (Everett)	http://www.heraldnet.com/	www.heraldnet.com	USA	leftcenter	high
Defense News	https://www.defensenews.com	www.defensenews.com	USA	center	high
The Dodo	https://www.thedodo.com	www.thedodo.com	USA	left	mixed
The Buffalo Chronicle	https://buffalochronicle.com	buffalochronicle.com	USA	extremeright	mixed
The Times UK and The Sunday Times	https://www.thetimes.co.uk/	www.thetimes.co.uk	United Kingdom	rightcenter	high
OilPrice	https://oilprice.com	oilprice.com	United Kingdom	center	high
Ring of Fire	https://trofire.com/	trofire.com	USA	left	mixed
Tea Party Tribune	http://www.teapartytribune.com/	www.teapartytribune.com	None	right	high
MBGA - Make Britain Great Again	http://mbganews.com/	mbganews.com	None	extremeright	questionable source
Urban Institute	ttps://www.urban.org/	www.urban.org	USA	leftcenter	high
Political Inbox	http://politicalinbox.com/	politicalinbox.com	None	extremeleft	questionable source
La Stampa	https://www.lastampa.it/	www.lastampa.it	Italy	leftcenter	high
Star Political	https://starpolitical.com	starpolitical.com	USA	right	mixed
D.C. Circuit Breaker	https://dccircuitbreaker.org	dccircuitbreaker.org	USA	center	high
Star-Ledger	https://www.nj.com/starledger/	www.nj.com	USA	leftcenter	high
Fight for the Future	https://www.fightforthefuture.org	www.fightforthefuture.org	None	leftcenter	high
Laconia Daily Sun	https://www.laconiadailysun.com/	www.laconiadailysun.com	USA	leftcenter	high
For the Right News	https://www.fortherightnews.com/	www.fortherightnews.com	USA	extremeright	low
Mongabay	https://news.mongabay.com	news.mongabay.com	None	leftcenter	high
The Pulse	http://pulsegulfcoast.com/	pulsegulfcoast.com	None	leftcenter	high
Crosscut.com	https://crosscut.com/	crosscut.com	USA	leftcenter	high
Moon of Alabama	http://www.moonofalabama.org/	www.moonofalabama.org	USA	left	mixed
Bozeman Daily Chronicle	https://www.bozemandailychronicle.com/	www.bozemandailychronicle.com	USA	center	high
Knights Templar International	https://knightstemplarinternational.com/	knightstemplarinternational.com	None	extremeright	questionable source
Lexington Herald Leader	http://www.kentucky.com/	www.kentucky.com	None	leftcenter	high
Peoria Journal Star	https://www.pjstar.com/	www.pjstar.com	USA	center	high
Sky News	https://news.sky.com	news.sky.com	United Kingdom	center	high
Gnews	https://gnews.org/	gnews.org	USA	right	low
TheStreet	https://www.thestreet.com/	www.thestreet.com	USA	rightcenter	high
The Peoples Truth	http://thepeoplestruth.com/	thepeoplestruth.com	None	extremeright	questionable source
Peacock Panache	https://www.peacock-panache.com/	www.peacock-panache.com	USA	left	mixed
Geopolitics Alert	https://geopoliticsalert.com/	geopoliticsalert.com	USA	left	mixed
Real Conservatives Unite	https://realconservativesunite.com	realconservativesunite.com	Unknown	extremeright	None
Foreign Policy Journal	https://www.foreignpolicyjournal.com	www.foreignpolicyjournal.com	USA	left	mixed
Full Fact (UK)	https://fullfact.org/	fullfact.org	United Kingdom	center	high
Blue Dot Daily	https://www.bluedotdaily.com	www.bluedotdaily.com	USA	extremeleft	mixed
Patribotics Blog	https://patribotics.blog/	patribotics.blog	None	rightcenter	questionable source
Orlando Sentinel	https://www.orlandosentinel.com	www.orlandosentinel.com	USA	leftcenter	high
Courthouse News Service	https://www.courthousenews.com	www.courthousenews.com	USA	center	high
Raw Progressive	http://www.rawprogressive.com/	www.rawprogressive.com	None	left	mixed
SwampDrain.com	https://swampdrain.com	swampdrain.com	Unknown	extremeright	questionable source
Brookings Institution	https://www.brookings.edu/	www.brookings.edu	USA	leftcenter	very high
St. Pete for Peace	https://www.stpete4peace.org/	www.stpete4peace.org	None	left	high
San Francisco Chronicle	https://www.sfchronicle.com/	www.sfchronicle.com	USA	leftcenter	high
USA Daily Post	http://usadailypost.us/	usadailypost.us	None	extremeright	questionable source
Democratic National Committee (DNC)	https://democrats.org/	democrats.org	USA	left	mixed
SooToday.com	https://www.sootoday.com/	www.sootoday.com	None	leftcenter	high
Right Wing Watch	http://www.rightwingwatch.org/	www.rightwingwatch.org	USA	left	mostly factual
LoonWatch	http://www.loonwatch.com/	www.loonwatch.com	None	extremeleft	questionable source
New Left Review	https://newleftreview.org/	newleftreview.org	United Kingdom	left	high
Rudaw	http://rudaw.net/english	rudaw.net	None	leftcenter	high
Ballotpedia	https://ballotpedia.org/Main_Page	ballotpedia.org	USA	center	very high
ITV News	https://www.itv.com/news	www.itv.com	United Kingdom	rightcenter	high
Al Majalla	http://eng.majalla.com/	eng.majalla.com	None	center	high
Christian Today	https://www.christiantoday.com/	www.christiantoday.com	United Kingdom	right	mixed
The Moderate Voice	http://themoderatevoice.com/	themoderatevoice.com	USA	leftcenter	high
CalWatchdog.com	https://calwatchdog.com	calwatchdog.com	USA	leftcenter	high
Ron Paul Liberty Report	http://www.ronpaullibertyreport.com/	www.ronpaullibertyreport.com	None	right	mixed
Minnesota Public Radio (MPR)	https://www.mprnews.org/	www.mprnews.org	None	leftcenter	high
Council for the National Interest	http://www.councilforthenationalinterest.org/	www.councilforthenationalinterest.org	None	leftcenter	high
Red Country - Conservative News	http://www.redcountry.us/	www.redcountry.us	None	extremeright	questionable source
Public Citizen	https://www.citizen.org/	www.citizen.org	USA	leftcenter	high
Mixi.Media	https://mixi.media/	mixi.media	Unknown	right	questionable source
Vulture	http://www.vulture.com	www.vulture.com	USA	leftcenter	high
SmartNews	https://www.smartnews.com/en/	www.smartnews.com	Japan	center	mixed
Boston Herald	https://www.bostonherald.com/	www.bostonherald.com	USA	rightcenter	high
Independent Women's Forum (IWF)	http://iwf.org/	iwf.org	None	right	mixed
Topeka Capital-Journal	http://www.cjonline.com/	www.cjonline.com	USA	rightcenter	high
We Hunted the Mammoth	http://www.wehuntedthemammoth.com/	www.wehuntedthemammoth.com	USA	left	high
Towleroad	http://www.towleroad.com/	www.towleroad.com	None	left	mixed
Regulation Magazine	http://www.cato.org/regulation/	www.cato.org	None	rightcenter	mixed
Richmond Times-Dispatch	http://www.richmond.com/	www.richmond.com	None	rightcenter	high
The Independent	https://www.independent.co.uk/us	www.independent.co.uk	United Kingdom	leftcenter	high
The Clover Chronicle	https://cloverchronicle.com	cloverchronicle.com	Unknown	extremeright	None
American Principles Project	https://americanprinciplesproject.org/	americanprinciplesproject.org	None	extremeright	low
Marginal Revolution	https://marginalrevolution.com/	marginalrevolution.com	USA	rightcenter	high
New Bern Sun Journal	http://www.newbernsj.com/	www.newbernsj.com	None	center	high
Transpartisan Review	http://www.transpartisanreview.com/	www.transpartisanreview.com	None	center	high
CNET	https://www.cnet.com/	www.cnet.com	USA	center	high
Left Justified	http://www.leftjustified.com/	www.leftjustified.com	None	leftcenter	high
The Jewish Press	http://www.jewishpress.com/	www.jewishpress.com	None	rightcenter	high
Politifact	https://www.politifact.com/	www.politifact.com	USA	center	high
Daily Surge	http://dailysurge.com/	dailysurge.com	None	right	mixed
Red Alert Politics	http://redalertpolitics.com/	redalertpolitics.com	None	right	mixed
The Flip Side	https://www.theflipside.io/	www.theflipside.io	USA	center	high
Conservative Byte	http://conservativebyte.com	conservativebyte.com	None	extremeright	low
12minutos.com	http://www.12minutos.com/	www.12minutos.com	Unknown	None	low
Offended America	http://offendedamerica.com/	offendedamerica.com	None	right	mixed
NewsOne	https://newsone.com/	newsone.com	USA	left	mostly factual
Heat Street	http://heatst.com/	heatst.com	None	right	mixed
Bing News	https://www.bing.com/news	www.bing.com	USA	leftcenter	high
Free West Media	http://freewestmedia.com/	freewestmedia.com	None	right	mixed
Fifth Estate	https://www.fifthestate.org/	www.fifthestate.org	None	left	high
Trump Train News	https://trumptrainnews.com/	trumptrainnews.com	USA	extremeright	mixed
AsianNews.it	http://www.asianews.it/en.html	www.asianews.it	Italy	right	mixed
Daily Express	https://www.express.co.uk/	www.express.co.uk	United Kingdom	right	mixed
Center for Security Policy	https://www.centerforsecuritypolicy.org/	www.centerforsecuritypolicy.org	USA	extremeright	mixed
Patriot Fires	http://www.patriotfires.com/	www.patriotfires.com	None	extremeright	questionable source
The Democratic Hub	http://www.democratichub.com/	www.democratichub.com	None	left	mixed
Erie Times-News	http://www.goerie.com	www.goerie.com	USA	center	high
New Haven Register	https://www.nhregister.com/	www.nhregister.com	USA	leftcenter	high
Black Lives Matter	https://blacklivesmatter.com	blacklivesmatter.com	USA	left	high
The Nation Institute	http://www.nationinstitute.org/	www.nationinstitute.org	None	leftcenter	high
Russia Insider	https://russia-insider.com/	russia-insider.com	Russia	extremeright	low
Snopes	https://www.snopes.com/	www.snopes.com	USA	center	high
Politisite	https://politisite.com/	politisite.com	USA	right	high
Atlantic Council	https://www.atlanticcouncil.org	www.atlanticcouncil.org	USA	rightcenter	high
Egypt Today	https://www.egypttoday.com	www.egypttoday.com	Egypt	right	mixed
Desert Sun	http://www.desertsun.com/	www.desertsun.com	None	rightcenter	high
MediaShift	http://mediashift.org/	mediashift.org	None	center	high
National Institute on Money in State Politics	https://www.followthemoney.org/	www.followthemoney.org	None	center	high
International Center for Research on Women	https://www.icrw.org/	www.icrw.org	USA	leftcenter	high
The TruthSetter	https://truthsetter.com	truthsetter.com	None	center	high
Blunt Force Truth	https://bluntforcetruth.com	bluntforcetruth.com	None	extremeright	low
American Military News	https://americanmilitarynews.com	americanmilitarynews.com	USA	center	mostly factual
Idaho Statesman	http://www.idahostatesman.com	www.idahostatesman.com	USA	center	high
Newsmax	https://www.newsmax.com/	www.newsmax.com	USA	right	mixed
Conservative Ammo	http://conservativeammo.com/	conservativeammo.com	USA	extremeright	low
Seattle Times	http://www.seattletimes.com/	www.seattletimes.com	USA	leftcenter	high
Virginia Mercury	https://www.virginiamercury.com	www.virginiamercury.com	USA	leftcenter	high
Baptist News Global	https://baptistnews.com/	baptistnews.com	None	leftcenter	high
Air Force Times	https://www.airforcetimes.com/	www.airforcetimes.com	USA	center	high
Teddy Stick	https://teddystick.com/	teddystick.com	None	extremeright	questionable source
Belleville News-Democrat	https://www.bnd.com/	www.bnd.com	USA	center	high
PunchingBag Post	http://punchingbagpost.com/	punchingbagpost.com	None	rightcenter	high
Affinity Magazine	http://affinitymagazine.us/	affinitymagazine.us	USA	leftcenter	mixed
American Spectator	https://spectator.org/	spectator.org	USA	right	mixed
Population Connection	http://www.populationconnection.org	www.populationconnection.org	None	leftcenter	high
Remington Research Group	https://remingtonresearchgroup.com	remingtonresearchgroup.com	None	rightcenter	high
Need 2 Know	https://cheddar.com/need2know	cheddar.com	None	center	high
Center for International Policy	https://www.internationalpolicy.org/	www.internationalpolicy.org	USA	leftcenter	high
Arms Control Association	https://www.armscontrol.org	www.armscontrol.org	USA	leftcenter	high
Molad The Center for the Renewal of Israeli Democracy	http://www.molad.org/en/	www.molad.org	None	left	high
The Federation for American Immigration Reform (FAIR)	http://www.fairus.org/	www.fairus.org	USA	extremeright	low
Being Libertarian	https://beinglibertarian.com/	beinglibertarian.com	USA	rightcenter	mostly factual
TheGrio	https://thegrio.com/	thegrio.com	USA	left	mostly factual
Fusion	https://fusion.tv/	fusion.tv	USA	leftcenter	high
Americas Freedom Fighters	https://americasfreedomfighters.com	americasfreedomfighters.com	Unknown	extremeright	low
The USA Conservative	http://usa-conservative.com/	usa-conservative.com	None	extremeright	questionable source
NOQ Report	https://noqreport.com/	noqreport.com	USA	right	mixed
American Greatness	https://amgreatness.com	amgreatness.com	USA	right	mixed
Jewish World Review	http://www.jewishworldreview.com/	www.jewishworldreview.com	USA	right	mixed
The Hindu Business Line	http://www.thehindubusinessline.com/	www.thehindubusinessline.com	India	rightcenter	high
The Tab	https://thetab.com/	thetab.com	None	leftcenter	high
Fresno Bee	https://www.fresnobee.com/	www.fresnobee.com	USA	leftcenter	high
Medium	https://medium.com/	medium.com	USA	leftcenter	mixed
The Macon Telegraph	https://www.macon.com	www.macon.com	USA	center	high
Who.What.Why	https://whowhatwhy.org/	whowhatwhy.org	None	left	mixed
Radio Free Europe / Radio Liberty	https://www.rferl.org	www.rferl.org		center	mostly factual
Vote Smart	http://votesmart.org/	votesmart.org	None	center	high
The Conversation	https://theconversation.com/us	theconversation.com	Australia	center	high
Sapiens	https://www.sapiens.org	www.sapiens.org	USA	leftcenter	high
Real Clear Investigations	https://www.realclearinvestigations.com/	www.realclearinvestigations.com	USA	rightcenter	mostly factual
The Times (Illinois)	http://www.mywebtimes.com	www.mywebtimes.com	USA	center	high
